k,f,x_re,x_im,X_re,X_im,|X(k)|
117,5.74322,3.26195,0,-2.21378e-13,1.8785e-13,2.90338e-13
118,5.79231,3.08092,0,3.69038e-13,9.30589e-13,1.00109e-12
119,5.8414,2.66855,0,6.52367e-13,1.45672e-12,1.59613e-12
120,5.89049,2.12132,0,-5.26112e-12,128,128
121,5.93957,1.55366,0,-6.03961e-14,-2.75002e-13,2.81556e-13
122,5.98866,1.0802,0,1.36602e-12,6.11844e-13,1.49678e-12
123,6.03775,0.798005,0,3.34843e-13,-2.15716e-13,3.98313e-13
124,6.08684,0.771639,0,1.0707e-12,-3.85858e-13,1.1381e-12
125,6.13592,1.02306,0,3.31601e-12,-1.27931e-12,3.55423e-12
126,6.18501,1.52814,0,192,-1.02623e-12,192
127,6.2341,2.22019,0,-5.22693e-13,-1.18261e-12,1.29297e-12
