f [Hz], FR(kf0), FI(kf0), |F(kf0)|
1.9332,1.05942,0,1.05942
1.93358,1.99948,0,1.99948
1.93397,2.71861,0,2.71861
1.93435,3.14805,0,3.14805
1.93473,3.26195,0,3.26195
1.93512,3.08092,0,3.08092
1.9355,2.66855,0,2.66855
1.93588,2.12132,0,2.12132
1.93627,1.55366,0,1.55366
1.93665,1.0802,0,1.0802
1.93703,0.798005,0,0.798005
1.93742,0.771639,0,0.771639
1.9378,1.02306,0,1.02306
1.93818,1.52814,0,1.52814
1.93857,2.22019,0,2.22019
1.93895,3,0,3
1.93934,3.75092,0,3.75092
1.93972,4.35657,0,4.35657
1.9401,4.71858,0,4.71858
1.94049,4.77164,0,4.77164
1.94087,4.49352,0,4.49352
1.94125,3.90862,0,3.90862
1.94164,3.0844,0,3.0844
1.94202,2.12132,0,2.12132
1.9424,1.13781,0,1.13781
1.94279,0.252497,0,0.252497
1.94317,-0.433569,0,0.433569
1.94355,-0.85195,0,0.85195
1.94394,-0.976905,0,0.976905
1.94432,-0.828943,0,0.828943
1.9447,-0.471315,0,0.471315
1.94509,-1.71172e-14,0,1.71172e-14
1.94547,0.471315,0,0.471315
1.94585,0.828943,0,0.828943
1.94624,0.976905,0,0.976905
1.94662,0.85195,0,0.85195
1.94701,0.433569,0,0.433569
1.94739,-0.252497,0,0.252497
1.94777,-1.13781,0,1.13781
1.94816,-2.12132,0,2.12132
1.94854,-3.0844,0,3.0844
1.94892,-3.90862,0,3.90862
1.94931,-4.49352,0,4.49352
1.94969,-4.77164,0,4.77164
1.95007,-4.71858,0,4.71858
1.95046,-4.35657,0,4.35657
1.95084,-3.75092,0,3.75092
1.95122,-3,0,3
1.95161,-2.22019,0,2.22019
1.95199,-1.52814,0,1.52814
1.95237,-1.02306,0,1.02306
1.95276,-0.771639,0,0.771639
1.95314,-0.798005,0,0.798005
1.95352,-1.0802,0,1.0802
1.95391,-1.55366,0,1.55366
1.95429,-2.12132,0,2.12132
1.95468,-2.66855,0,2.66855
1.95506,-3.08092,0,3.08092
1.95544,-3.26195,0,3.26195
1.95583,-3.14805,0,3.14805
1.95621,-2.71861,0,2.71861
1.95659,-1.99948,0,1.99948
1.95698,-1.05942,0,1.05942
1.95736,-1.56245e-13,0,1.56245e-13
1.95774,1.05942,0,1.05942
1.95813,1.99948,0,1.99948
1.95851,2.71861,0,2.71861
